revision,timestamp,ghi,actual,prediction,error
R3,2026-01-02 04:30:00,0.0,,0.0,
R3,2026-01-02 04:45:00,0.0,,0.0,
R3,2026-01-02 05:00:00,0.0,,0.0,
R3,2026-01-02 05:15:00,0.0,,0.0,
R3,2026-01-02 05:30:00,0.0,,0.0,
R4,2026-01-02 04:45:00,0.0,,0.0,
R4,2026-01-02 05:00:00,0.0,,0.0,
R4,2026-01-02 05:15:00,0.0,,0.0,
R4,2026-01-02 05:30:00,0.0,,0.0,
R4,2026-01-02 05:45:00,0.0,,0.001783519983291626,
R4,2026-01-02 06:00:00,0.0,,0.008487217128276825,
R4,2026-01-02 06:15:00,0.0,,0.0154108926653862,
R4,2026-01-02 06:30:00,0.0,,0.02254769206047058,
R5,2026-01-02 05:45:00,0.0,,0.001783519983291626,
R5,2026-01-02 06:00:00,0.0,,0.008487217128276825,
R5,2026-01-02 06:15:00,0.0,,0.0154108926653862,
R5,2026-01-02 06:30:00,0.0,,0.02254769206047058,
R5,2026-01-02 06:45:00,0.0,,0.029884614050388336,
R5,2026-01-02 07:00:00,,,0.037400759756565094,
R5,2026-01-02 07:15:00,,,0.04506617784500122,
R5,2026-01-02 07:30:00,,,0.05284097045660019,
R6,2026-01-02 06:45:00,0.0,,0.029884614050388336,
R6,2026-01-02 07:00:00,,,0.037400759756565094,
R6,2026-01-02 07:15:00,,,0.04506617784500122,
R6,2026-01-02 07:30:00,,,0.05284097045660019,
R6,2026-01-02 07:45:00,,,0.06067551672458649,
R6,2026-01-02 08:00:00,,,0.06851192563772202,
R6,2026-01-02 08:15:00,,,0.07628634572029114,
R6,2026-01-02 08:30:00,,,0.08393131196498871,
R7,2026-01-02 07:45:00,133.7870483,,0.3300448879599571,
R7,2026-01-02 08:00:00,183.3878632,,0.4439200088381767,
R7,2026-01-02 08:15:00,235.0502625,,0.5829408392310143,
R7,2026-01-02 08:30:00,286.5036621,,0.7321569323539734,
R7,2026-01-02 08:45:00,337.0942078,,0.878872275352478,
R7,2026-01-02 09:00:00,385.8287354,,1.0130959749221802,
R7,2026-01-02 09:15:00,431.5979919,,1.1305098235607147,
R7,2026-01-02 09:30:00,473.7393494,,1.2320433557033539,
R8,2026-01-02 08:45:00,294.7391357,,0.7705181837081909,
R8,2026-01-02 09:00:00,342.5437927,,0.9057584404945374,
R8,2026-01-02 09:15:00,391.1315308,,1.0345563292503357,
R8,2026-01-02 09:30:00,435.487793,,1.1445927619934082,
R8,2026-01-02 09:45:00,476.851593,,1.2417855858802795,
R8,2026-01-02 10:00:00,514.9976196,,1.3284040987491608,
R8,2026-01-02 10:15:00,549.2702026,,1.4047031104564667,
R8,2026-01-02 10:30:00,579.4065552,,1.4707893133163452,
R9,2026-01-02 09:45:00,491.6396484,,1.274886131286621,
R9,2026-01-02 10:00:00,527.0531006,,1.3550326228141785,
R9,2026-01-02 10:15:00,561.3618164,,1.431155651807785,
R9,2026-01-02 10:30:00,591.8839111,,1.4977383613586426,
R9,2026-01-02 10:45:00,618.0812378,,1.553710550069809,
R9,2026-01-02 11:00:00,640.37146,,1.6001099348068237,
R9,2026-01-02 11:15:00,658.6830444,,1.6371160745620728,
R9,2026-01-02 11:30:00,672.8616333,,1.6649311780929565,
